Año_Edicion,Provincia,TOTAL,GRUPO.HORTALIZAS.ha.,GRUPO.FRUTALES.ha.,Num_habitantes,Ha_Hort_x_habitantes,Ha_Frut_x_habitantes,Ha_Hort_x_10mil_habitantes,Ha_Frut_x_10mil_habitantes,Ha_Hort_x_TotalHa,Ha_Frut_x_TotalHa
2009,Buenos Aires,10974981.5,28335.1,4961.4,14917940,0.0018993976380116825,3.3257943120833033e-4,18.993976380116823,3.3257943120833033,0.0025817902289858074,4.5206454334342154e-4
2009,Catamarca,219857.1,2723.4,30205.6,380612,0.007155318276880393,0.07936060870387691,71.55318276880392,793.6060870387691,0.012387136917570549,0.13738742119312952
2009,Chaco,1189386.3,4859.4,83.8,1042881,0.004659592033990455,8.035432614075814e-5,46.59592033990455,0.8035432614075814,0.004085636432839356,7.045650349259949e-5
2009,Chubut,34035,437.7,605.1,455607,9.606963896516076e-4,0.0013281183124930038,9.606963896516076,13.281183124930038,0.012860290877038343,0.017778757161745262
2009,Córdoba,8718403.8,18392.8,4935.3,3311280,0.0055545891618950976,0.0014904508226426035,55.545891618950975,14.904508226426035,0.0021096522278539103,5.660783915514443e-4
2009,Corrientes,390765.7,656.3,15865.1,1002416,6.547182008268024e-4,0.015826862300681553,6.547182008268025,158.26862300681555,0.0016795230492338501,0.040600032193204266
2009,Entre Ríos,2327935.7,518.5,41652.6,1242547,4.172880381989575e-4,0.03352195128232574,4.172880381989575,335.2195128232574,2.227295195481559e-4,0.017892504505171682
2009,Formosa,138730.4,4692.5,2906.4,532238,0.008816544478222148,0.005460714943314833,88.16544478222148,54.60714943314833,0.033824597925184385,0.020949986448536156
2009,Jujuy,153075.4,4979.4,6837.6,670766,0.0074234531863570895,0.010193718822957634,74.2345318635709,101.93718822957634,0.03252906737464021,0.04466818313066633
2009,La Pampa,2672676.9,14.1,316.4,329576,4.27822414253465e-5,9.600213607786974e-4,0.427822414253465,9.600213607786975,5.275609633173392e-6,1.1838318354156463e-4
2009,La Rioja,72212.5,607.7,35094.9,334235,0.0018181818181818184,0.10500067317905067,18.181818181818183,1050.0067317905066,0.008415440540072703,0.4859948069932491
2009,Misiones,718335.1,8415.6,6157,1061590,0.007927354251641407,0.0057997908797181585,79.27354251641407,57.99790879718159,0.011715423623320093,0.008571208618373237
2009,Mendoza,272876.4,31054.8,209491.6,1711416,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,0.11380537122301525,0.7677160795143881
2009,Neuquén,53372.7,355.6,7534.7,538952,6.597990173521946e-4,0.013980280247591622,6.597990173521946,139.80280247591622,0.006662582181527261,0.14117142284351364
2009,Río Negro,106304.5,2666.9,36540.8,594189,0.004488302543466809,0.06149693111114478,44.88302543466809,614.9693111114478,0.025087366950599457,0.34373709485487447
2009,Salta,1247707.9,7539.1,16031.4,1202753,0.0062682030308799895,0.013328921233204158,62.682030308799895,133.2892123320416,0.0060423597542341445,0.012848680368217593
2009,San Juan,81272.7,5603.1,66331.6,685883,0.008169177541942286,0.09670978869573967,81.69177541942285,967.0978869573967,0.06894196944361392,0.8161609002777072
2009,San Luis,837423.6,56,307.2,428025,1.3083347935284153e-4,7.177150867355879e-4,1.3083347935284153,7.177150867355879,6.687177194433021e-5,3.6683943466603997e-4
2009,Santa Cruz,10441,20.7,178.2,221871,9.329745663020404e-5,8.031694092513217e-4,0.9329745663020403,8.031694092513217,0.001982568719471315,0.01706733071544871
2009,Santa Fe,5341488.8,6110.3,651.1,3220818,0.00189712675475609,2.0215361439236866e-4,18.9712675475609,2.0215361439236865,0.0011439320063724556,1.2189485448326692e-4
2009,Santiago del Estero,1298021.4,9043.1,375.3,856739,0.010555256618410041,4.380563975726563e-4,105.55256618410041,4.380563975726563,0.006966834291021705,2.8913236715511783e-4
2009,Tierra del Fuego,5293.2,3.1,0.2,122531,2.5299720070839218e-5,1.6322400045702722e-6,0.25299720070839216,0.016322400045702724,5.856570694475931e-4,3.778432706113505e-5
2009,Tucumán,632782.2,4944.8,31424.3,1457357,0.0033929915593776954,0.021562527232517496,33.929915593776954,215.62527232517496,0.007814379102319883,0.049660530906210705
